[STATUS] 8670 sec: peers=13, msgs=62844, connected=no
[STATUS] 8680 sec: peers=13, msgs=62844, connected=no
[DISCOVERED] Peer 1: "MacLatency" at 10.188.1.55:7354
[STATUS] 8690 sec: peers=14, msgs=62844, connected=no
[CONNECTED] Peer 2
[CAPS] Peer 2: max_msg=4096 chunk=1024 pressure=0 [FRAG]
[CAPS] Peer buffer: recv_buf=8192 optimal_chunk=2048
[CAPS] Effective max message: 4096 bytes
[CAPS] Optimal chunk for peer: 1024 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[STATUS] 8700 sec: peers=14, msgs=62874, connected=yes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
[MESSAGE] From peer 2: 16 bytes
