[STATUS] 970 sec: peers=3, msgs=7945, connected=no
[STATUS] 980 sec: peers=3, msgs=7945, connected=no
[DISCOVERED] Peer 1: "MacThroughput" at 10.188.1.55:7354
[STATUS] 990 sec: peers=4, msgs=7945, connected=no
[CONNECTED] Peer 2
[CAPS] Peer 2: max_msg=4096 chunk=1024 pressure=0 [FRAG]
[CAPS] Peer buffer: recv_buf=8192 optimal_chunk=2048
[CAPS] Effective max message: 4096 bytes
[CAPS] Optimal chunk for peer: 1024 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[ECHO] 8000 messages echoed
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[STATUS] 1000 sec: peers=4, msgs=8041, connected=yes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[ECHO] 8100 messages echoed
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
[MESSAGE] From peer 2: 256 bytes
